Word,Count
service,2619
seat,2279
food,2249
crew,2054
seats,1982
good,1973
time,1942
staff,1457
club,1037
lhr,1018
lounge,985
plane,977
again,968
passengers,956
hours,945
boarding,935
airline,933
about,928
new,860
experience,855
