Word,Count
good,1298
crew,1072
service,1056
food,995
seat,943
time,923
seats,786
lhr,551
club,533
lounge,516
staff,514
boarding,476
comfortable,468
excellent,413
well,406
friendly,386
great,385
aircraft,383
drinks,382
experience,376
