Word,Count
service,1563
seat,1336
food,1254
seats,1196
time,1019
crew,982
staff,943
hours,715
good,675
before,540
customer,530
any,519
off,518
meal,511
hour,509
now,504
club,504
over,503
airlines,498
experience,479
